Seconds,Test,Run,Point,ID_rcs,at001,me2615,me2616,me2645,me2655,me1800,me3058,ads_dewpt,vr2615,vr2616,vr2645,vr2655,vr1800,vr3058,ptpsi_rcs,pt_fr1,ttemp,ps_fr1,x3mln2,mach_rcs,te2693,pitch,qinfft
6.900394,215,144,2688,4,-179.442001,-70.701248,-53.033127,-92.025612,56.435001,-76.416252,-66.639999,-84,5.456524,18.754284,1.737452,17849.64063,4.389643,7.270806,43.237198,43.203362,-180.807114,26.262175,323.942474,0.869293,-169.22699,2.703473,2011.908325
7.0004,215,144,2688,4,-179.504623,-70.695625,-53.044376,-92.031242,56.429375,-76.433128,-66.673752,-84,5.451464,18.722782,1.734538,17866.59375,4.387785,7.269879,43.223663,43.232685,-180.851501,26.259855,322.061462,0.868558,-169.247345,2.730908,2009.437988
7.100406,215,144,2688,4,-179.60553,-70.690002,-53.021873,-91.980614,56.412498,-76.427498,-66.696251,-84,5.451464,18.722782,1.734538,17866.59375,4.387785,7.269879,43.201107,43.250732,-180.914474,26.257534,321.35257,0.868652,-169.22699,2.744261,2008.622437
7.200412,215,144,2688,4,-179.722122,-70.695625,-53.03875,-92.048119,56.440624,-76.427498,-66.656876,-84,5.445593,18.762316,1.736191,17862.35352,4.387785,7.280021,43.201107,43.221409,-180.914474,26.227373,319.694305,0.868652,-169.2677,2.757254,2008.622437
7.300417,215,144,2688,4,-179.462875,-70.673126,-53.03875,-92.031242,56.435001,-76.410622,-66.634377,-84,5.445593,18.762316,1.736191,17862.35352,4.387785,7.280021,43.221409,43.198853,-180.851501,26.238974,322.507263,0.868455,-169.20665,2.783244,2009.076172
7.401423,215,144,2688,4,-179.379379,-70.701248,-53.03875,-92.036865,56.4575,-76.427498,-66.611877,-84,5.445593,18.762316,1.736191,17862.35352,4.387785,7.280021,43.241711,43.210129,-180.871902,26.222733,323.328491,0.868183,-169.20665,2.783244,2009.338135
7.500429,215,144,2688,4,-179.473328,-70.684372,-53.03875,-92.025612,56.435001,-76.404999,-66.673752,-84,5.445863,18.726643,1.734146,17862.35352,4.384068,7.250901,43.241711,43.221439,-180.934906,26.215773,322.289917,0.868806,-169.22699,2.796952,2010.895264
7.600435,215,144,2688,4,-179.287231,-70.684372,-53.016251,-92.042488,56.4575,-76.416252,-66.634377,-84,5.445863,18.726643,1.734146,17862.35352,4.384068,7.250901,43.214642,43.223694,-181.023575,26.215773,320.579651,0.868361,-169.20665,2.809588,2008.519409
7.70144,215,144,2688,4,-179.203781,-70.684372,-53.010624,-92.031242,56.401249,-76.416252,-66.668121,-84,5.45905,18.748186,1.735624,17866.59375,4.391502,7.277032,43.203362,43.214672,-180.679337,26.201851,323.16098,0.867241,-169.22699,2.823304,2005.204834
7.800446,215,144,2688,4,-179.337646,-70.695625,-53.061249,-92.008743,56.435001,-76.427498,-66.645622,-84,5.45905,18.748186,1.735624,17866.59375,4.391502,7.277032,43.203362,43.225952,-180.679337,26.180969,319.410431,0.867241,-169.186295,2.835933,2005.204834
7.901452,215,144,2688,4,-179.657745,-70.695625,-53.010624,-91.99749,56.435001,-76.416252,-66.6175,-84,5.451744,18.738508,1.736715,17866.59375,4.393365,7.252732,43.232685,43.219185,-180.981003,26.187931,322.425659,0.868836,-169.20665,2.862643,2010.549316
8.000457,215,144,2688,4,-179.575943,-70.695625,-53.061249,-92.036865,56.440624,-76.365623,-66.651253,-84,5.451744,18.738508,1.736715,17866.59375,4.393365,7.252732,43.250732,43.198883,-180.699722,26.180969,322.406769,0.868835,-169.2677,2.862643,2011.396362
8.101463,215,144,2688,4,-179.555069,-70.684372,-53.005001,-92.019989,56.446251,-76.365623,-66.679375,-84,5.446701,18.708374,1.740712,17866.59375,4.385927,7.266549,43.221409,43.210163,-180.960587,26.19257,322.034729,0.86875,-169.20665,2.875277,2009.809692
8.200469,215,144,2688,4,-179.579422,-70.690002,-53.049999,-92.014366,56.463123,-76.360001,-66.639999,-84,5.446701,18.708374,1.740712,17866.59375,4.385927,7.266549,43.198853,43.228207,-180.766327,26.194891,324.341125,0.868898,-169.247345,2.888271,2009.138062
8.300475,215,144,2688,4,-179.518539,-70.678749,-53.03875,-92.031242,56.406876,-76.371246,-66.679375,-84,5.446701,18.708374,1.740712,17866.59375,4.385927,7.266549,43.221439,43.232719,-180.764542,26.211132,325.194427,0.869551,-169.20665,2.900908,2011.82019
8.40048,215,144,2688,4,-179.483749,-70.695625,-53.0275,-91.991867,56.429375,-76.348747,-66.673752,-84,5.450072,18.719952,1.737959,17870.83594,4.406409,7.268136,43.221439,43.228207,-180.764542,26.204172,322.91925,0.869551,-169.247345,2.914985,2011.82019
8.500486,215,144,2688,4,-179.504623,-70.678749,-53.044376,-92.031242,56.463123,-76.360001,-66.679375,-84,5.450072,18.719952,1.737959,17870.83594,4.406409,7.268136,43.223694,43.241741,-180.895859,26.176329,321.308838,0.869254,-169.22699,2.941694,2011.180054
8.600492,215,144,2688,4,-179.421127,-70.695625,-53.016251,-92.042488,56.423752,-76.365623,-66.656876,-84,5.44866,18.721506,1.739671,17887.80664,4.408275,7.269109,43.214672,43.232719,-180.742325,26.160086,323.132324,0.870102,-169.22699,2.941694,2012.88208
8.700498,215,144,2688,4,-179.233337,-70.667503,-53.033127,-92.031242,56.429375,-76.360001,-66.639999,-84,5.44866,18.721506,1.739671,17887.80664,4.408275,7.269109,43.225952,43.192116,-180.701538,26.148485,322.156494,0.870526,-169.247345,2.955414,2014.46875
8.800503,215,144,2688,4,-179.02478,-70.695625,-53.0275,-92.008743,56.423752,-76.365623,-66.673752,-84,5.45146,18.722769,1.738959,17887.80664,4.408275,7.246312,43.225952,43.21693,-180.701538,26.148485,322.787781,0.870526,-169.22699,2.969125,2014.46875
8.901509,215,144,2688,4,-179.104721,-70.695625,-53.005001,-92.042488,56.446251,-76.337502,-66.662498,-84,5.45146,18.722769,1.738959,17887.80664,4.408275,7.246312,43.210163,43.219185,-180.895859,26.148485,321.10675,0.870224,-169.247345,2.98212,2012.969971
9.000515,215,144,2688,4,-179.045624,-70.701248,-53.049999,-92.019989,56.418125,-76.360001,-66.645622,-84,5.45146,18.722769,1.738959,17887.80664,4.408275,7.246312,43.210163,43.219185,-180.895859,26.18329,321.664276,0.870224,-169.20665,2.98212,2012.969971
9.100521,215,144,2688,4,-179.057785,-70.706879,-53.033127,-92.019989,56.451874,-76.360001,-66.656876,-84,5.462136,18.758139,1.740962,17862.35352,4.408275,7.275068,43.228207,43.234974,-180.955322,26.19025,320.248016,0.870438,-169.22699,3.022557,2014.343872
9.200526,215,144,2688,4,-179.129044,-70.678749,-53.049999,-92.019989,56.412498,-76.365623,-66.634377,-84,5.462136,18.758139,1.740962,17862.35352,4.408275,7.275068,43.232719,43.207905,-180.744125,26.204172,321.807434,0.869674,-169.22699,3.022557,2012.654297
9.300532,215,144,2688,4,-179.170761,-70.690002,-53.044376,-92.025612,56.418125,-76.365623,-66.600624,-84,5.445304,18.725365,1.741273,17853.87695,4.408275,7.267619,43.241741,43.232719,-180.8293,26.215773,320.171143,0.871622,-169.2677,3.035547,2017.930298
9.401537,215,144,2688,4,-179.238556,-70.690002,-53.044376,-92.031242,56.412498,-76.348747,-66.623123,-84,5.445304,18.725365,1.741273,17853.87695,4.408275,7.267619,43.241741,43.241741,-180.8293,26.19721,323.599396,0.871622,-169.247345,3.072731,2017.930298
9.500543,215,144,2688,4,-179.275055,-70.678749,-53.03875,-92.008743,56.446251,-76.365623,-66.504997,-84,5.44334,18.739773,1.740522,17879.32031,4.408275,7.259138,43.232719,43.223694,-180.618179,26.187931,320.27063,0.871055,-169.20665,3.072731,2016.104126
9.601549,215,144,2688,4,-179.358521,-70.695625,-53.021873,-92.019989,56.389999,-76.360001,-66.578125,-84,5.44334,18.739773,1.740522,17879.32031,4.408275,7.259138,43.21693,43.21693,-180.742325,26.174009,323.862976,0.871746,-169.22699,3.072731,2017.085815
9.700555,215,144,2688,4,-179.328949,-70.673126,-53.044376,-92.019989,56.423752,-76.354378,-66.595001,-84,5.44334,18.739773,1.740522,17879.32031,4.408275,7.259138,43.21693,43.20565,-181.003159,26.148485,324.424133,0.871746,-169.20665,3.085731,2017.074585
9.80056,215,144,2688,4,-179.282028,-70.701248,-52.999374,-92.008743,56.440624,-76.365623,-66.589378,-84,5.446976,18.722769,1.735794,17849.64063,4.412011,7.275671,43.219185,43.20565,-181.003159,26.169367,323.649353,0.87164,-169.247345,3.109558,2016.915771
